# Nominal model (Fig. 2b; Marchi 2021). NEO SFD, late instability
# Time (Ga)     N1 (craters per km2)
  2.0000e+00      9.3949e-04
  2.0250e+00      9.4579e-04
  2.0500e+00      9.5240e-04
  2.0750e+00      9.5874e-04
  2.1000e+00      9.6944e-04
  2.1250e+00      9.8212e-04
  2.1500e+00      9.9984e-04
  2.1750e+00      1.0200e-03
  2.2000e+00      1.0443e-03
  2.2250e+00      1.0577e-03
  2.2500e+00      1.0703e-03
  2.2750e+00      1.0862e-03
  2.3000e+00      1.0969e-03
  2.3250e+00      1.1093e-03
  2.3500e+00      1.1168e-03
  2.3750e+00      1.1231e-03
  2.4000e+00      1.1299e-03
  2.4250e+00      1.1375e-03
  2.4500e+00      1.1473e-03
  2.4750e+00      1.1549e-03
  2.5000e+00      1.1616e-03
  2.5250e+00      1.1736e-03
  2.5500e+00      1.1848e-03
  2.5750e+00      1.2060e-03
  2.6000e+00      1.2333e-03
  2.6250e+00      1.2434e-03
  2.6500e+00      1.2500e-03
  2.6750e+00      1.2588e-03
  2.7000e+00      1.2803e-03
  2.7250e+00      1.2978e-03
  2.7500e+00      1.3296e-03
  2.7750e+00      1.3464e-03
  2.8000e+00      1.3583e-03
  2.8250e+00      1.3683e-03
  2.8500e+00      1.3818e-03
  2.8750e+00      1.3977e-03
  2.9000e+00      1.4166e-03
  2.9250e+00      1.4381e-03
  2.9500e+00      1.4648e-03
  2.9750e+00      1.4914e-03
  3.0000e+00      1.5124e-03
  3.0250e+00      1.5377e-03
  3.0500e+00      1.5681e-03
  3.0750e+00      1.5945e-03
  3.1000e+00      1.6214e-03
  3.1250e+00      1.6489e-03
  3.1500e+00      1.6706e-03
  3.1750e+00      1.6970e-03
  3.2000e+00      1.7257e-03
  3.2250e+00      1.7529e-03
  3.2500e+00      1.7777e-03
  3.2750e+00      1.8027e-03
  3.3000e+00      1.8443e-03
  3.3250e+00      1.8894e-03
  3.3500e+00      1.9715e-03
  3.3750e+00      2.0463e-03
  3.4000e+00      2.1475e-03
  3.4250e+00      2.2640e-03
  3.4500e+00      2.3904e-03
  3.4750e+00      2.5146e-03
  3.5000e+00      2.6656e-03
  3.5250e+00      2.7780e-03
  3.5500e+00      2.9352e-03
  3.5750e+00      3.1011e-03
  3.6000e+00      3.3339e-03
  3.6250e+00      3.5436e-03
  3.6500e+00      3.7616e-03
  3.6750e+00      4.0196e-03
  3.7000e+00      4.3888e-03
  3.7250e+00      4.8065e-03
  3.7500e+00      5.2207e-03
  3.7750e+00      5.6343e-03
  3.8000e+00      6.2500e-03
  3.8250e+00      7.0114e-03
  3.8500e+00      7.8309e-03
  3.8750e+00      8.9414e-03
  3.9000e+00      1.0268e-02
  3.9250e+00      1.1798e-02
  3.9500e+00      1.3817e-02
  3.9750e+00      1.6393e-02
  4.0000e+00      1.9534e-02
  4.0250e+00      2.4126e-02
  4.0500e+00      2.9975e-02
  4.0750e+00      3.8858e-02
  4.1000e+00      5.2035e-02
  4.1250e+00      5.5885e-02
  4.1500e+00      6.0257e-02
  4.1750e+00      6.5066e-02
  4.2000e+00      7.0462e-02
  4.2250e+00      7.6829e-02
  4.2500e+00      8.4572e-02
  4.2750e+00      9.4121e-02
  4.3000e+00      1.0545e-01
  4.3250e+00      1.1904e-01
  4.3500e+00      1.3647e-01
  4.3750e+00      1.5909e-01
  4.4000e+00      1.8945e-01
  4.4250e+00      2.3307e-01
  4.4500e+00      2.9746e-01
  4.4750e+00      4.0564e-01
  4.5000e+00      6.7629e-01
