# Nominal model (Fig. 2b; Marchi 2021). MBA SFD, early instability
# Time (Ga)     N1 (craters per km2)
  2.0000e+00      1.3366e-03
  2.0250e+00      1.3521e-03
  2.0500e+00      1.3682e-03
  2.0750e+00      1.3846e-03
  2.1000e+00      1.4002e-03
  2.1250e+00      1.4175e-03
  2.1500e+00      1.4331e-03
  2.1750e+00      1.4481e-03
  2.2000e+00      1.4632e-03
  2.2250e+00      1.4787e-03
  2.2500e+00      1.4946e-03
  2.2750e+00      1.5106e-03
  2.3000e+00      1.5263e-03
  2.3250e+00      1.5417e-03
  2.3500e+00      1.5572e-03
  2.3750e+00      1.5729e-03
  2.4000e+00      1.5886e-03
  2.4250e+00      1.6045e-03
  2.4500e+00      1.6207e-03
  2.4750e+00      1.6368e-03
  2.5000e+00      1.6546e-03
  2.5250e+00      1.6731e-03
  2.5500e+00      1.6935e-03
  2.5750e+00      1.7148e-03
  2.6000e+00      1.7377e-03
  2.6250e+00      1.7573e-03
  2.6500e+00      1.7783e-03
  2.6750e+00      1.7991e-03
  2.7000e+00      1.8186e-03
  2.7250e+00      1.8390e-03
  2.7500e+00      1.8581e-03
  2.7750e+00      1.8772e-03
  2.8000e+00      1.8969e-03
  2.8250e+00      1.9180e-03
  2.8500e+00      1.9399e-03
  2.8750e+00      1.9618e-03
  2.9000e+00      1.9842e-03
  2.9250e+00      2.0089e-03
  2.9500e+00      2.0347e-03
  2.9750e+00      2.0643e-03
  3.0000e+00      2.0983e-03
  3.0250e+00      2.1282e-03
  3.0500e+00      2.1578e-03
  3.0750e+00      2.1896e-03
  3.1000e+00      2.2269e-03
  3.1250e+00      2.2649e-03
  3.1500e+00      2.3080e-03
  3.1750e+00      2.3486e-03
  3.2000e+00      2.3907e-03
  3.2250e+00      2.4347e-03
  3.2500e+00      2.4834e-03
  3.2750e+00      2.5388e-03
  3.3000e+00      2.5967e-03
  3.3250e+00      2.6601e-03
  3.3500e+00      2.7310e-03
  3.3750e+00      2.8078e-03
  3.4000e+00      2.8898e-03
  3.4250e+00      2.9809e-03
  3.4500e+00      3.0827e-03
  3.4750e+00      3.1934e-03
  3.5000e+00      3.3167e-03
  3.5250e+00      3.4529e-03
  3.5500e+00      3.6050e-03
  3.5750e+00      3.7744e-03
  3.6000e+00      3.9662e-03
  3.6250e+00      4.1813e-03
  3.6500e+00      4.4225e-03
  3.6750e+00      4.6953e-03
  3.7000e+00      5.0108e-03
  3.7250e+00      5.3724e-03
  3.7500e+00      5.7967e-03
  3.7750e+00      6.2869e-03
  3.8000e+00      6.8515e-03
  3.8250e+00      7.5050e-03
  3.8500e+00      8.2607e-03
  3.8750e+00      9.1329e-03
  3.9000e+00      1.0163e-02
  3.9250e+00      1.1340e-02
  3.9500e+00      1.2737e-02
  3.9750e+00      1.4383e-02
  4.0000e+00      1.6352e-02
  4.0250e+00      1.8684e-02
  4.0500e+00      2.1475e-02
  4.0750e+00      2.4826e-02
  4.1000e+00      2.8906e-02
  4.1250e+00      3.3860e-02
  4.1500e+00      3.9906e-02
  4.1750e+00      4.7325e-02
  4.2000e+00      5.6617e-02
  4.2250e+00      6.8274e-02
  4.2500e+00      8.3028e-02
  4.2750e+00      1.0201e-01
  4.3000e+00      1.2672e-01
  4.3250e+00      1.5933e-01
  4.3500e+00      2.0333e-01
  4.3750e+00      2.6396e-01
  4.4000e+00      3.5048e-01
  4.4250e+00      4.7915e-01
  4.4500e+00      6.8303e-01
  4.4750e+00      1.0455e+00
  4.5000e+00      1.9731e+00
