# MPF for MBA-like SFD from Bottke et al 2020, extended to 4000 km.
# Generated with a cratering scaling law from Johnson et al 2016 (rock)
# For details see Marchi 2021 paper.
#
#    Crater_diam      MPF
#    (km)      (arbitrary units)
   0.0059755216   3.2440562e+15
   0.0073179401   1.7469562e+15
   0.0089614611   9.4057615e+14
    0.010974473   5.0631615e+14
    0.013439165   2.7250615e+14
    0.016457965   1.4663615e+14
    0.020154584   7.8894151e+13
    0.024681879   4.2442151e+13
    0.030225688   2.2831151e+13
    0.037014970   1.2282151e+13
    0.045328966   6.6082510e+12
    0.055512252   3.5551510e+12
    0.067979634   1.9124510e+12
    0.083246914   1.0287910e+12
     0.10194649   5.5346101e+11
     0.12484643   2.9777101e+11
     0.15288815   1.6022101e+11
     0.18723120   8.6217014e+10
     0.22928529   4.6398014e+10
     0.28078726   2.4972014e+10
     0.34385537   1.3442014e+10
     0.42107965   7.2393143e+09
     0.51567825   3.9022143e+09
     0.63151497   2.1066143e+09
     0.77334323   1.1400643e+09
     0.94705703   6.1948431e+08
      1.1597752   3.3881431e+08
      1.4202938   1.8718431e+08
      1.7393068   1.0499131e+08
      2.1299891       60168309.
      2.6084097       35487309.
      3.1942158       21685309.
      3.9118195       13795609.
      4.7905309       9151508.9
      5.8664083       6309308.8
      7.1841622       4492408.8
      8.7977947       3278108.8
      10.774030       2429158.8
      13.193991       1811618.8
      16.157620       1348688.8
      19.786811       996068.85
      24.231976       722278.85
      29.674185       508698.85
      36.339893       343208.85
      44.501257       220108.85
      54.497443       133378.85
      66.738097       76860.850
      81.729378       42611.850
      100.08666       22965.850
      122.56808       12461.850
      150.09831       6896.7500
      183.80793       3975.3500
      225.10171       2432.4500
      275.66627       1641.5400
      337.57655       1137.8300
      413.40537       821.16000
      506.26023       591.40000
      619.98073       426.34000
      759.23491       301.04000
      929.77395       203.41900
      1138.6121       122.36400
      1394.4046       64.526000
      1707.5711       31.947000
      2091.1425       15.000000
      2560.7800       7.0000000
      3136.0004       4.0000000
      3840.3765       3.0000000
      4703.0347       1.0000000
      5759.3857       1.0000000
      7053.0566       1.0000000
      13202.197      0.37600000
      18862.815      0.22800000
      24296.997      0.15900000
