# Nominal model (Fig. 2b; Marchi 2021). MBA SFD, late instability
# Time (Ga)     N1 (craters per km2)
  2.0000e+00      1.3786e-03
  2.0250e+00      1.3878e-03
  2.0500e+00      1.3975e-03
  2.0750e+00      1.4067e-03
  2.1000e+00      1.4224e-03
  2.1250e+00      1.4409e-03
  2.1500e+00      1.4669e-03
  2.1750e+00      1.4964e-03
  2.2000e+00      1.5320e-03
  2.2250e+00      1.5516e-03
  2.2500e+00      1.5700e-03
  2.2750e+00      1.5933e-03
  2.3000e+00      1.6088e-03
  2.3250e+00      1.6269e-03
  2.3500e+00      1.6378e-03
  2.3750e+00      1.6468e-03
  2.4000e+00      1.6568e-03
  2.4250e+00      1.6676e-03
  2.4500e+00      1.6819e-03
  2.4750e+00      1.6928e-03
  2.5000e+00      1.7025e-03
  2.5250e+00      1.7198e-03
  2.5500e+00      1.7360e-03
  2.5750e+00      1.7669e-03
  2.6000e+00      1.8066e-03
  2.6250e+00      1.8211e-03
  2.6500e+00      1.8305e-03
  2.6750e+00      1.8430e-03
  2.7000e+00      1.8742e-03
  2.7250e+00      1.8993e-03
  2.7500e+00      1.9455e-03
  2.7750e+00      1.9696e-03
  2.8000e+00      1.9864e-03
  2.8250e+00      2.0003e-03
  2.8500e+00      2.0194e-03
  2.8750e+00      2.0418e-03
  2.9000e+00      2.0687e-03
  2.9250e+00      2.0992e-03
  2.9500e+00      2.1372e-03
  2.9750e+00      2.1750e-03
  3.0000e+00      2.2044e-03
  3.0250e+00      2.2400e-03
  3.0500e+00      2.2828e-03
  3.0750e+00      2.3197e-03
  3.1000e+00      2.3570e-03
  3.1250e+00      2.3950e-03
  3.1500e+00      2.4242e-03
  3.1750e+00      2.4600e-03
  3.2000e+00      2.4989e-03
  3.2250e+00      2.5352e-03
  3.2500e+00      2.5675e-03
  3.2750e+00      2.5995e-03
  3.3000e+00      2.6554e-03
  3.3250e+00      2.7160e-03
  3.3500e+00      2.8299e-03
  3.3750e+00      2.9326e-03
  3.4000e+00      3.0730e-03
  3.4250e+00      3.2347e-03
  3.4500e+00      3.4100e-03
  3.4750e+00      3.5805e-03
  3.5000e+00      3.7889e-03
  3.5250e+00      3.9390e-03
  3.5500e+00      4.1527e-03
  3.5750e+00      4.3769e-03
  3.6000e+00      4.6965e-03
  3.6250e+00      4.9791e-03
  3.6500e+00      5.2704e-03
  3.6750e+00      5.6161e-03
  3.7000e+00      6.1202e-03
  3.7250e+00      6.6900e-03
  3.7500e+00      7.2477e-03
  3.7750e+00      7.7970e-03
  3.8000e+00      8.6336e-03
  3.8250e+00      9.6734e-03
  3.8500e+00      1.0786e-02
  3.8750e+00      1.2310e-02
  3.9000e+00      1.4133e-02
  3.9250e+00      1.6234e-02
  3.9500e+00      1.9025e-02
  3.9750e+00      2.2602e-02
  4.0000e+00      2.6972e-02
  4.0250e+00      3.3423e-02
  4.0500e+00      4.1664e-02
  4.0750e+00      5.4286e-02
  4.1000e+00      7.3124e-02
  4.1250e+00      7.8159e-02
  4.1500e+00      8.3821e-02
  4.1750e+00      8.9946e-02
  4.2000e+00      9.6702e-02
  4.2250e+00      1.0459e-01
  4.2500e+00      1.1410e-01
  4.2750e+00      1.2573e-01
  4.3000e+00      1.3926e-01
  4.3250e+00      1.5509e-01
  4.3500e+00      1.7512e-01
  4.3750e+00      2.0064e-01
  4.4000e+00      2.3424e-01
  4.4250e+00      2.8195e-01
  4.4500e+00      3.5049e-01
  4.4750e+00      4.6303e-01
  4.5000e+00      7.4121e-01
