# Nominal model (Fig. 2b; Marchi 2021). NEO SFD, early instability
# Time (Ga)     N1 (craters per km2)
  2.0000e+00      9.1181e-04
  2.0250e+00      9.2241e-04
  2.0500e+00      9.3349e-04
  2.0750e+00      9.4481e-04
  2.1000e+00      9.5558e-04
  2.1250e+00      9.6751e-04
  2.1500e+00      9.7826e-04
  2.1750e+00      9.8865e-04
  2.2000e+00      9.9910e-04
  2.2250e+00      1.0099e-03
  2.2500e+00      1.0209e-03
  2.2750e+00      1.0320e-03
  2.3000e+00      1.0429e-03
  2.3250e+00      1.0537e-03
  2.3500e+00      1.0646e-03
  2.3750e+00      1.0756e-03
  2.4000e+00      1.0866e-03
  2.4250e+00      1.0978e-03
  2.4500e+00      1.1092e-03
  2.4750e+00      1.1207e-03
  2.5000e+00      1.1333e-03
  2.5250e+00      1.1464e-03
  2.5500e+00      1.1609e-03
  2.5750e+00      1.1760e-03
  2.6000e+00      1.1924e-03
  2.6250e+00      1.2064e-03
  2.6500e+00      1.2216e-03
  2.6750e+00      1.2367e-03
  2.7000e+00      1.2510e-03
  2.7250e+00      1.2659e-03
  2.7500e+00      1.2802e-03
  2.7750e+00      1.2945e-03
  2.8000e+00      1.3094e-03
  2.8250e+00      1.3254e-03
  2.8500e+00      1.3421e-03
  2.8750e+00      1.3590e-03
  2.9000e+00      1.3764e-03
  2.9250e+00      1.3956e-03
  2.9500e+00      1.4158e-03
  2.9750e+00      1.4388e-03
  3.0000e+00      1.4652e-03
  3.0250e+00      1.4892e-03
  3.0500e+00      1.5133e-03
  3.0750e+00      1.5393e-03
  3.1000e+00      1.5696e-03
  3.1250e+00      1.6008e-03
  3.1500e+00      1.6363e-03
  3.1750e+00      1.6706e-03
  3.2000e+00      1.7067e-03
  3.2250e+00      1.7451e-03
  3.2500e+00      1.7876e-03
  3.2750e+00      1.8357e-03
  3.3000e+00      1.8867e-03
  3.3250e+00      1.9430e-03
  3.3500e+00      2.0059e-03
  3.3750e+00      2.0747e-03
  3.4000e+00      2.1491e-03
  3.4250e+00      2.2321e-03
  3.4500e+00      2.3250e-03
  3.4750e+00      2.4270e-03
  3.5000e+00      2.5411e-03
  3.5250e+00      2.6680e-03
  3.5500e+00      2.8104e-03
  3.5750e+00      2.9698e-03
  3.6000e+00      3.1506e-03
  3.6250e+00      3.3543e-03
  3.6500e+00      3.5840e-03
  3.6750e+00      3.8447e-03
  3.7000e+00      4.1456e-03
  3.7250e+00      4.4907e-03
  3.7500e+00      4.8937e-03
  3.7750e+00      5.3592e-03
  3.8000e+00      5.8962e-03
  3.8250e+00      6.5184e-03
  3.8500e+00      7.2393e-03
  3.8750e+00      8.0741e-03
  3.9000e+00      9.0576e-03
  3.9250e+00      1.0191e-02
  3.9500e+00      1.1533e-02
  3.9750e+00      1.3117e-02
  4.0000e+00      1.5008e-02
  4.0250e+00      1.7253e-02
  4.0500e+00      1.9941e-02
  4.0750e+00      2.3172e-02
  4.1000e+00      2.7100e-02
  4.1250e+00      3.1874e-02
  4.1500e+00      3.7710e-02
  4.1750e+00      4.4886e-02
  4.2000e+00      5.3859e-02
  4.2250e+00      6.5121e-02
  4.2500e+00      7.9390e-02
  4.2750e+00      9.7738e-02
  4.3000e+00      1.2163e-01
  4.3250e+00      1.5318e-01
  4.3500e+00      1.9577e-01
  4.3750e+00      2.5451e-01
  4.4000e+00      3.3834e-01
  4.4250e+00      4.6309e-01
  4.4500e+00      6.6095e-01
  4.4750e+00      1.0129e+00
  4.5000e+00      1.9153e+00
