# MPF for NEO-like SFD from Harris and D'Abramo 2015.
# Generated with a cratering scaling law from Johnson et al 2016 (rock)
# For details see Marchi 2021 paper.
#
#    Crater_diam      MPF
#      (km)      (arbitrary units)
    0.093787731   1.3700000e+09
     0.11485378   7.2500000e+08
     0.14065187   4.6600000e+08
     0.17224441   2.6000000e+08
     0.21093357   1.7900000e+08
     0.25831268   1.0400000e+08
     0.31633371       58700000.
     0.38738797       31400000.
     0.47440137       16100000.
     0.58095932       7190000.0
     0.71145269       3440000.0
     0.87125498       1480000.0
      1.0669536       632000.00
      1.3066074       269000.00
      1.6000947       127000.00
      1.9595021       67400.000
      2.3996366       39700.000
      2.9386382       25500.000
      3.5987024       17400.000
      4.4070270       12300.000
      5.3969205       8590.0000
      6.6091448       6030.0000
      8.0936703       4250.0000
      9.9116465       2860.0000
      12.137945       1940.0000
      14.864343       1230.0000
      18.203105       802.00000
      22.291850       512.00000
      27.298949       329.00000
      33.430718       199.00000
      40.939828       112.00000
      50.135490       55.900000
      61.396767       26.300000
      75.187527       15.200000
      92.075724       8.0800000
      112.75757       5.0500000
      138.08467       3.0300000
      169.10097       2.0200000
      207.08370       2.0200000
      253.59793       1.0100000
      310.56035       1.0100000
      380.31658       1.0100000
      465.74210       1.0100000
